product_id,name,price,original_price,discount,brand,category,availability,description,,,,,,,,,,
2930,Istanbolly Cheese - 1Kg,170  LE,199.5 LE,14.8%,Istanbul,Istanbul,in stock,"The Istanbul Cheese is a flavorsome indulgence for you and your family to enjoy. It has a classic taste and is great to consume by itself or with various foods like crackers and toast. The cheese works as a great topping to add more taste to pizzas or burgers. Featuring various essential nutrients, it is helps boost your family&#039;s nourishment. ",,,,,,,,,,
2934,Cottage Cheese - 1Kg,120  LE,162.75 LE,26.3%,cottage,cottage,in stock,"The Cottage Cheese makes an excellent addition to a variety of food preparation. It is filled with the goodness of milk protein that makes it an ideal ingredient to your healthy diet. You can add this cheese to the preparation of pizzas, salads, sandwiches and more.",,,,,,,,,,
2938,Alexandria Baramily CheeseWith Pepper1Kg,170  LE,199.5 LE,14.8%,Alex,Alex,in stock,"The Alex Baramily Cheese with Pepper gives a savory twist to the creamy and soft cheese. It features an excellent mix of rich ingredients and spices that offers a great taste. You can add a hint of zesty flavor to a variety of dishes like pizza, sandwiches, burgers, pasta and more.",,,,,,,,,,
2955,Halwani Plain Halawa - 1Kg,144.99  LE,179.99 LE,19.4%,Halwani,Halwani,in stock,"Add a blend of sweet and salty delight to your palette with the Halwani Plain Halawa. Primarily made from clarified butter, flour and sugar, it has a unique flavor and a tender texture that tantalizes your tongue. It is a traditional Middle Eastern delicacy. It comprises various nutrients that make it ideal for maintaining your overall health and wellbeing. ",,,,,,,,,,
2995,Sea Star Smoked Herring Fillet - 1kg,219.99  LE,269.99 LE,18.5%,sea star,sea star,in stock,"For all those enthusiastic about seafood, the Seastar Smoked Herring makes for an incredibly delicious treat. Its smoked flavor adds a dash of bitterness and sharpness to the delicacy. The seafood item contains a high nutritive value that helps to boost your metabolism and immune system. It makes for an excellent component of portion-control dietary regimes. ",,,,,,,,,,
3120,Seastar Whole Feseikh - 1kg,589.99  LE,724.99 LE,18.6%,Seastar,Seastar,in stock,"Indulge in the deliciousness of the Seastar Whole Feseikh that is both savory and healthy. Made using superior quality ingredients, this unit delivers you with the best flavors. This feseikh is made using traditional methods, that will give you the most authentic taste. This Seastar feseikh can be consumed in many ways, making it the most versatile food.",,,,,,,,,,
3211,Katilo Baramily Alexandrian Cheese 1Kg,150  LE,224.99 LE,33.3%,Katilo,Katilo,in stock,"The Katilo Baramily Cheese levels up the taste of your homemade pasta by bestowing a savory, creamy flavor to it. It is rich in essential proteins required for keeping the body healthy. Additionally, the cheese is packed with calcium and other essential nutrients for providing nutritional supplements. Wholesome in taste and nutrients, this cheese variety is ideal for consumption at any time of the day.",,,,,,,,,,
3212,Katilo Istanbolly Storage Cheese - 1Kg,150  LE,224.99 LE,33.3%,Katilo,Katilo,in stock,"Improve your homemade pasta preparation by adding the Katilo Istambolli Cheese to it. It is rich in essential proteins required for keeping the body healthy. Additionally, the cheese is packed with calcium and other essential nutrients for providing nutritional supplements. Wholesome in taste and nutrients, this cheese variety is ideal for consumption at any time of the day.",,,,,,,,,,
3214,Katilo Romy Cheese - 1Kg,450  LE,549.99 LE,18.2%,old rumy,old rumy,in stock,"The Katilo Roomy Cheese enhances your homemade curry by bestowing a savory, creamy flavor to it. It is rich in essential proteins required for keeping the body healthy. Additionally, the cheese is packed with calcium and other essential nutrients for providing nutritional supplements. Wholesome in taste and nutrients, this cheese variety is ideal for consumption at any time of the day.",,,,,,,,,,
3248,Super Bolty Fish - 1Kg,99.99  LE,109.99 LE,9.1%,Whole/Processed/Fill,Whole/Processed/Fill,in stock,"The Super Bolty Fish presents a delightful accompaniment to the otherwise mundane meals. It contains high protein content that helps maintain a healthy body constitution. Additionally, a generous amount of vitamins and minerals makes this fish a wholesome food source. The texture is succulent with a flavorsome taste, enticing your taste buds.",,,,,,,,,,
3261,Qarous Fish - 1Kg,599.99  LE,629.99 LE,4.8%,Whole/Processed/Fill,Whole/Processed/Fill,in stock,"With Qarous Fish, let your guests lick their fingers as you prepare appetizing delectable. It is perfect for making the tastiest and most mouth-watering dishes that will satisfy all your needs for seafood. It also has a high nutritional value which encourages good health and wellbeing. It will also bring you closer to a healthier life without losing your taste.",,,,,,,,,,
3265,Loot Fish - 1Kg,249.99  LE,289.99 LE,13.8%,Whole/Processed/Fill,Whole/Processed/Fill,in stock,Loot Fish - 1Kg,,,,,,,,,,
3271,Clams Gandofly - 1Kg,109.99  LE,129.99 LE,15.4%,Whole/Processed,Whole/Processed,in stock,"Prepare the mouth-watering delectable with Clams Gandofly. These clams are considered to be a really versatile ingredient. You can either serve them steamed or prepare different recipes that are delicious, tasty and appetizing. More than all, these are coequally rich in taste and nutrients.",,,,,,,,,,
3502,California Garden Plain Medammes 400g,19.99  LE,26.99 LE,25.9%,California Garden,California Garden,in stock,Kick-start your day by eating the healthiest and delicious breakfast with the California Garden Medammes. It is made from premium quality ingredients that are carefully picked to deliver you with an exceptional product. Each bite of these California fava beans fills your mouth with fresh flavor that takes you back to the good old days. This ready-to-eat pack allows you to consume it directly or pair it with some food to create a new delicacy.,,,,,,,,,,
